CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR;MATERIAL_TECHUMBRE;DENSIDAD_HOGAR;CONDICION_DE_HABITABILIDAD
TQRMNOVPUHLLKUCDEHLEH00806049;2024;3;1;1;40;N;25;108;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOTUYHMOLMCDEHLEH00811142;2024;3;1;1;40;N;25;235;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;2;2;1125000;7;7;7;;7;9;281250;4;4;6;;5;7;316;2;0;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOQVPHMMLOCDEHLEH00811145;2024;3;1;1;40;N;25;160;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;3;1;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;97;0;0;0;Nuclear;Material durable;Bajo;Buena
TQRMNOQXXHJNLPCDEIGED00862504;2024;3;1;1;43;N;30;134;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;8;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;540000;3;3;3;;3;3;540000;7;8;7;;8;7;148;97;0;1;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOQRSHLMLQCDEIGED00806631;2024;3;1;1;43;N;30;132;1;;3;1;;5;1;1;2;;1;1;1;3;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1050000;6;7;6;;7;6;525000;7;8;7;;8;7;201;1;0;96;0;0;0;Nuclear;Material durable;Bajo;Saludable
TQRMNOPSYHMNLMCDEGGFB00809713;2024;3;1;1;42;S;10;383;1;;2;1;;1;2;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;3;0;3;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;0;1;3;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOPRPHKLLLCDEGGFB00867645;2024;3;1;1;42;S;10;718;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;1;2;1;2;2;2;5;1;4;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;2;3;0;0;Extendido;Material durable;Medio;Buena
TQRMNORQUHMMKTCDEGLDF00810333;2024;3;1;1;41;N;15;115;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;2;;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;2;450000;2;3;4;;3;4;225000;3;3;5;;4;5;123;1;0;22;0;0;0;Nuclear;Material durable;Bajo;Buena
TQRMNOQYXHJOLOCDEGPDJ00861905;2024;3;1;1;40;N;19;269;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;4;0;4;975000;6;6;7;;7;7;243750;3;4;5;;4;5;269;2;0;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOPUSHMOKUCDEIJAH00812686;2024;3;1;1;1;S;33;4130;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;1000000;6;;6;6;;6;333333,33;5;;5;5;;6;6790;2;0;1;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOPPTHKMLMCDEIJAH00867646;2024;3;1;1;1;S;33;2347;2;;3;1;;2;1;1;1;;1;1;1;2;2;1;2;3;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;7;2;5;0;12;;12;12;;12;0;12;;12;12;;12;0;2;1;3;5;0;0;Extendido;Material durable;Alto;Buena
TQRMNOSPTHKMLMCDEIJAH00867647;2024;3;1;1;1;S;33;2217;1;;2;1;;4;1;1;1;;1;1;1;3;2;1;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;2;1;96;0;0;0;Nuclear;Material durable;Medio;Saludable
TQSMNOSXSHMMLMCDEIJAH00867648;2024;3;1;1;1;S;33;538;2;;3;2;;4;2;1;1;;1;1;1;3;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;9;0;9;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOQWQHLNNTCDEIIAD00806877;2024;3;1;1;1;S;32;1490;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;1;1;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;0;1;4200000;10;;10;10;;10;4200000;10;;10;10;;10;1789;1;0;98;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOUSQHLNNTCDEIIAD00806994;2024;3;1;1;1;S;32;1598;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;1;2;3;4;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOUSUHLNNTCDEIIAD00806878;2024;3;1;1;1;S;32;1278;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;2;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;98;0;0;0;Nuclear;Material durable;Bajo;Buena
TQRMNOPRYHJNNTCDEIIAD00867649;2024;3;1;1;1;S;32;4479;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;800000;5;;4;5;;3;800000;9;;9;9;;7;6225;1;0;96;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOPSVHJMOMCDEIIAD00862773;2024;3;1;1;1;S;32;1031;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;2;3;0;3;2221000;9;;9;9;;8;740333,33;9;;8;8;;6;1742;1;0;2;0;0;0;Nuclear;Material durable;Bajo;Buena
