"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOQVRHLOLMCDEFOCD00804309";2024;2;1;1;41;"N";8;430;1;"";2;2;"";4;1;3;1;"";1;2;2;2;2;1;2;2;1;2;0;1;2;2;2;0;2;0;1;"";3;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;160000;"1";"1";"1";"";"1";"2";160000;"3";"3";"5";"";"4";"6";404;1;0;98;0;0;0
"TQSMNOSPRHLOLMCDEFOCD00804310";2024;2;1;1;41;"N";8;441;1;"";1;2;"";4;2;2;1;"";1;2;2;3;2;2;2;1;1;2;0;2;2;2;0;0;0;0;2;"";3;"";2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;1;2;277000;"2";"2";"3";"";"2";"4";92333,33;"2";"2";"2";"";"2";"4";482;1;2;98;0;0;0
"TQRMNOQUYHMKKRCDEFPCH00799213";2024;2;1;1;44;"N";9;192;1;"";2;1;"";1;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;2;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;2;98;0;0;0
"TQRMNOPUUHJOKSCDEFPCH00862655";2024;2;1;1;44;"N";9;176;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;2130000;"10";"10";"10";"";"10";"10";710000;"10";"10";"9";"";"10";"9";225;1;2;3;0;0;0
"TQRMNOTVUHLOKSCDEFPCH00862656";2024;2;1;1;44;"N";9;85;1;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;1;0;1;320000;"2";"2";"2";"";"3";"1";320000;"7";"7";"6";"";"7";"6";80;1;0;98;0;0;0
"TQRMNOSRVHLNLLCDEFPCH00804454";2024;2;1;1;44;"N";9;82;1;"";3;1;"";4;2;1;1;"";1;2;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;0;2;1180000;"8";"9";"8";"";"9";"8";590000;"9";"9";"8";"";"9";"9";105;2;0;98;0;0;0
"TQRMNOPYYHKNLMCDEFPCH00859465";2024;2;1;1;44;"N";9;401;2;"";1;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;"";1;"";1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;4500000;"10";"10";"10";"";"10";"10";4500000;"10";"10";"10";"";"10";"10";459;1;0;98;0;0;0
"TQRMNOQXXHKNLMCDEFPCH00859466";2024;2;1;1;44;"N";9;93;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;1;1;450000;"4";"4";"3";"";"4";"2";225000;"5";"5";"4";"";"6";"4";102;1;0;98;0;0;0
"TQRMNOTPVHLMLNCDEGNFJ00805296";2024;2;1;1;44;"N";17;230;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;6;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;0;98;0;0;0
"TQRMNOPWTHKMKUCDEGNFJ00859443";2024;2;1;1;44;"N";17;135;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;670000;"6";"6";"5";"";"6";"4";670000;"9";"10";"9";"";"10";"9";200;1;0;98;0;0;0
